datetime,product,platform,orbit,rel_orbit,sk_overlap_pct,cdse_id,on_x_drive,x_paths
2025-07-25 09:22:29,GRD,sentinel-1c,ascending,54,59.01,S1C_IW_GRDH_1SDV_20250725T092229_20250725T092254_003375_006CA3_92BD_COG,NO,
2025-07-25 09:22:53,SLC,sentinel-1c,ascending,54,55.67,S1C_IW_SLC__1SDV_20250725T092253_20250725T092320_003375_006CA3_70DD,NO,
2025-07-25 09:22:54,GRD,sentinel-1c,ascending,54,55.66,S1C_IW_GRDH_1SDV_20250725T092254_20250725T092319_003375_006CA3_4336_COG,NO,
2025-07-25 09:23:18,SLC,sentinel-1c,ascending,54,15.24,S1C_IW_SLC__1SDV_20250725T092318_20250725T092335_003375_006CA3_711B,NO,
2025-07-25 09:23:19,GRD,sentinel-1c,ascending,54,13.58,S1C_IW_GRDH_1SDV_20250725T092319_20250725T092335_003375_006CA3_9ADF_COG,NO,
2025-07-31 09:23:20,GRD,sentinel-1a,ascending,54,31.77,S1A_IW_GRDH_1SDV_20250731T092320_20250731T092349_060326_077F5F_9CDF_COG,NO,
2025-07-31 09:23:20,SLC,sentinel-1a,ascending,54,32.81,S1A_IW_SLC__1SDV_20250731T092320_20250731T092350_060326_077F5F_E760,NO,
2025-07-31 09:23:48,SLC,sentinel-1a,ascending,54,60.38,S1A_IW_SLC__1SDV_20250731T092348_20250731T092415_060326_077F5F_9F16,NO,
2025-07-31 09:23:49,GRD,sentinel-1a,ascending,54,60.29,S1A_IW_GRDH_1SDV_20250731T092349_20250731T092414_060326_077F5F_0043_COG,NO,
2025-07-31 09:24:13,SLC,sentinel-1a,ascending,54,26.8,S1A_IW_SLC__1SDV_20250731T092413_20250731T092440_060326_077F5F_C5F7,NO,
2025-07-31 09:24:14,GRD,sentinel-1a,ascending,54,27.26,S1A_IW_GRDH_1SDV_20250731T092414_20250731T092439_060326_077F5F_0CC0_COG,NO,
