date,platform,abs_orbit,rel_orbit,orbit_state,kp_pct,sk_pct,jeju_pct,id
2022-07-30,SENTINEL-1A,44328,156,ascending,29.5,0.0,0.0,S1A_IW_GRDH_1SDV_20220730T091710_20220730T091739_044328_054A4C_6279_COG
2022-07-28,SENTINEL-1A,44299,127,ascending,76.3,36.6,0.0,S1A_IW_GRDH_1SDV_20220728T093224_20220728T093249_044299_05497F_50CE_COG
2022-07-28,SENTINEL-1A,44299,127,ascending,60.7,55.8,0.0,S1A_IW_GRDH_1SDV_20220728T093159_20220728T093224_044299_05497F_21DD_COG
2022-07-28,SENTINEL-1A,44299,127,ascending,49.6,31.0,0.0,S1A_IW_GRDH_1SDV_20220728T093130_20220728T093159_044299_05497F_E8AC_COG
2022-07-23,SENTINEL-1A,44226,54,ascending,68.5,59.8,0.0,S1A_IW_GRDH_1SDV_20220723T092355_20220723T092423_044226_05474A_236A_COG
2022-07-23,SENTINEL-1A,44226,54,ascending,46.6,32.0,0.0,S1A_IW_GRDH_1SDV_20220723T092326_20220723T092355_044226_05474A_2094_COG
2022-07-21,SENTINEL-1A,44197,25,ascending,20.7,0.0,0.0,S1A_IW_GRDH_1SDV_20220721T094051_20220721T094121_044197_054675_1E69_COG
2022-07-18,SENTINEL-1A,44153,156,ascending,29.5,0.0,0.0,S1A_IW_GRDH_1SDV_20220718T091709_20220718T091738_044153_054526_3CC7_COG
2022-07-16,SENTINEL-1A,44124,127,ascending,76.3,36.5,0.0,S1A_IW_GRDH_1SDV_20220716T093223_20220716T093248_044124_054450_E65A_COG
2022-07-16,SENTINEL-1A,44124,127,ascending,60.6,55.7,0.0,S1A_IW_GRDH_1SDV_20220716T093158_20220716T093223_044124_054450_5FD3_COG
2022-07-16,SENTINEL-1A,44124,127,ascending,49.5,31.0,0.0,S1A_IW_GRDH_1SDV_20220716T093129_20220716T093158_044124_054450_D04C_COG
2022-07-11,SENTINEL-1A,44051,54,ascending,68.5,59.8,0.0,S1A_IW_GRDH_1SDV_20220711T092354_20220711T092423_044051_054211_B9CF_COG
2022-07-11,SENTINEL-1A,44051,54,ascending,46.6,32.0,0.0,S1A_IW_GRDH_1SDV_20220711T092325_20220711T092354_044051_054211_4794_COG
2022-07-09,SENTINEL-1A,44022,25,ascending,20.7,0.0,0.0,S1A_IW_GRDH_1SDV_20220709T094050_20220709T094120_044022_054139_3BB8_COG
2022-07-06,SENTINEL-1A,43978,156,ascending,29.5,0.0,0.0,S1A_IW_GRDH_1SDV_20220706T091708_20220706T091737_043978_053FE4_03B2_COG
2022-07-04,SENTINEL-1A,43949,127,ascending,76.3,36.5,0.0,S1A_IW_GRDH_1SDV_20220704T093222_20220704T093248_043949_053F15_2C84_COG
2022-07-04,SENTINEL-1A,43949,127,ascending,60.6,55.7,0.0,S1A_IW_GRDH_1SDV_20220704T093157_20220704T093222_043949_053F15_44BA_COG
2022-07-04,SENTINEL-1A,43949,127,ascending,49.5,31.0,0.0,S1A_IW_GRDH_1SDV_20220704T093128_20220704T093157_043949_053F15_CDA8_COG
2022-08-28,SENTINEL-1A,44751,54,ascending,72.4,63.1,0.0,S1A_IW_GRDH_1SDV_20220828T092357_20220828T092409_044751_0557E7_142D_COG
2022-08-28,SENTINEL-1A,44751,54,ascending,46.7,32.0,0.0,S1A_IW_GRDH_1SDV_20220828T092328_20220828T092357_044751_0557E7_8E60_COG
2022-08-26,SENTINEL-1A,44722,25,ascending,8.4,0.0,0.0,S1A_IW_GRDH_1SDV_20220826T094122_20220826T094156_044722_0556FD_71AB_COG
